Container, 0, 0, 0, 3.72144, 3.72144, 0
Container, 0, THREAD, 0, 3.72144, 3.72144, zero
State, zero, STATE, 1.646318, 1.646861, 0.000543, 6.000000, !$omp taskwait @floorplan.c:584 <8>
State, zero, STATE, 1.646861, 1.647270, 0.000409, 7.000000, !$omp task @floorplan.c:530 <4>
State, zero, STATE, 1.647270, 1.647462, 0.000192, 8.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.647462, 1.647637, 0.000175, 9.000000, !$omp taskwait @floorplan.c:584 <8>
State, zero, STATE, 1.647637, 1.647811, 0.000174, 8.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.647811, 1.647976, 0.000165, 7.000000, !$omp task @floorplan.c:530 <4>
State, zero, STATE, 1.647976, 1.648413, 0.000437, 6.000000, !$omp taskwait @floorplan.c:584 <8>
State, zero, STATE, 1.648413, 1.648804, 0.000391, 7.000000, !$omp task @floorplan.c:530 <4>
State, zero, STATE, 1.648804, 1.648995, 0.000191, 8.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.648995, 1.649169, 0.000174, 9.000000, !$omp taskwait @floorplan.c:584 <8>
State, zero, STATE, 1.649169, 1.649336, 0.000167, 8.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.649336, 1.649500, 0.000164, 7.000000, !$omp task @floorplan.c:530 <4>
State, zero, STATE, 1.649500, 1.649911, 0.000411, 6.000000, !$omp taskwait @floorplan.c:584 <8>
State, zero, STATE, 1.649911, 1.650322, 0.000411, 7.000000, !$omp task @floorplan.c:530 <4>
State, zero, STATE, 1.650322, 1.650524, 0.000202, 8.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.650524, 1.650708, 0.000184, 9.000000, !$omp taskwait @floorplan.c:584 <8>
State, zero, STATE, 1.650708, 1.650879, 0.000171, 8.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.650879, 1.651043, 0.000164, 7.000000, !$omp task @floorplan.c:530 <4>
State, zero, STATE, 1.651043, 1.651555, 0.000512, 6.000000, !$omp taskwait @floorplan.c:584 <8>
State, zero, STATE, 1.651555, 1.651960, 0.000405, 7.000000, !$omp task @floorplan.c:530 <4>
State, zero, STATE, 1.651960, 1.652148, 0.000188, 8.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.652148, 1.652324, 0.000176, 9.000000, !$omp taskwait @floorplan.c:584 <8>
State, zero, STATE, 1.652324, 1.652507, 0.000183, 8.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.652507, 1.652673, 0.000166, 7.000000, !$omp task @floorplan.c:530 <4>
State, zero, STATE, 1.652673, 1.653138, 0.000465, 6.000000, !$omp taskwait @floorplan.c:584 <8>
State, zero, STATE, 1.653138, 1.653535, 0.000397, 7.000000, !$omp task @floorplan.c:530 <4>
State, zero, STATE, 1.653535, 1.653720, 0.000185, 8.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.653720, 1.653900, 0.000180, 9.000000, !$omp taskwait @floorplan.c:584 <8>
State, zero, STATE, 1.653900, 1.654087, 0.000187, 8.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.654087, 1.654252, 0.000165, 7.000000, !$omp task @floorplan.c:530 <4>
State, zero, STATE, 1.654252, 1.654689, 0.000437, 6.000000, !$omp taskwait @floorplan.c:584 <8>
State, zero, STATE, 1.654689, 1.655089, 0.000400, 7.000000, !$omp task @floorplan.c:530 <4>
State, zero, STATE, 1.655089, 1.655279, 0.000190, 8.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.655279, 1.655473, 0.000194, 9.000000, !$omp taskwait @floorplan.c:584 <8>
State, zero, STATE, 1.655473, 1.655660, 0.000187, 8.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.655660, 1.655823, 0.000163, 7.000000, !$omp task @floorplan.c:530 <4>
State, zero, STATE, 1.655823, 1.656254, 0.000431, 6.000000, !$omp taskwait @floorplan.c:584 <8>
State, zero, STATE, 1.656254, 1.656694, 0.000440, 7.000000, !$omp task @floorplan.c:530 <4>
State, zero, STATE, 1.656694, 1.656884, 0.000190, 8.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.656884, 1.657084, 0.000200, 9.000000, !$omp taskwait @floorplan.c:584 <8>
State, zero, STATE, 1.657084, 1.657269, 0.000185, 8.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.657269, 1.657436, 0.000167, 7.000000, !$omp task @floorplan.c:530 <4>
State, zero, STATE, 1.657436, 1.657916, 0.000480, 6.000000, !$omp taskwait @floorplan.c:584 <8>
State, zero, STATE, 1.657916, 1.658449, 0.000533, 7.000000, !$omp task @floorplan.c:530 <4>
State, zero, STATE, 1.658449, 1.658638, 0.000189, 8.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.658638, 1.658846, 0.000208, 9.000000, !$omp taskwait @floorplan.c:584 <8>
State, zero, STATE, 1.658846, 1.659030, 0.000184, 8.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.659030, 1.659197, 0.000167, 7.000000, !$omp task @floorplan.c:530 <4>
State, zero, STATE, 1.659197, 1.660115, 0.000918, 6.000000, !$omp taskwait @floorplan.c:584 <8>
State, zero, STATE, 1.660115, 1.660309, 0.000194, 5.000000, !$omp atomic @floorplan.c:572 <7>
State, zero, STATE, 1.660309, 1.660474, 0.000165, 4.000000, !$omp task @floorplan.c:530 <4>
State, zero, STATE, 1.660474, 3.718104, 2.057630, 3.000000, !$omp taskwait @floorplan.c:584 <8>
State, zero, STATE, 3.718104, 3.718887, 0.000783, 2.000000, !$omp single sblock @floorplan.c:622 <12>
State, zero, STATE, 3.718887, 3.719136, 0.000249, 1.000000, !$omp single @floorplan.c:622 <11>
State, zero, STATE, 3.719136, 3.720405, 0.001269, 2.000000, !$omp implicit barrier @floorplan.c:626 <13>
State, zero, STATE, 3.720405, 3.720612, 0.000207, 1.000000, !$omp single @floorplan.c:622 <11>
State, zero, STATE, 3.720612, 3.720771, 0.000159, 0.000000, !$omp parallel @floorplan.c:620 <9>
State, zero, STATE, 3.720771, 3.721220, 0.000449, 1.000000, !$omp implicit barrier @floorplan.c:628 <10>
State, zero, STATE, 3.721220, 3.721394, 0.000174, 0.000000, !$omp parallel @floorplan.c:620 <9>
Container, 0, THREAD, 1.60847, 3.72144, 2.11297, 8589934592
State, 8589934592, STATE, 1.632181, 1.633152, 0.000971, 0.000000, !$omp parallel @floorplan.c:620 <9>
State, 8589934592, STATE, 1.633152, 1.633592, 0.000440, 1.000000, !$omp single @floorplan.c:622 <11>
State, 8589934592, STATE, 1.633592, 1.637001, 0.003409, 2.000000, !$omp implicit barrier @floorplan.c:626 <13>
State, 8589934592, STATE, 1.637001, 1.638884, 0.001883, 3.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.638884, 1.639507, 0.000623, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.639507, 1.641237, 0.001730, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.641237, 1.641863, 0.000626, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.641863, 1.642543, 0.000680, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.642543, 1.642736, 0.000193, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.642736, 1.644789, 0.002053, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.644789, 1.645038, 0.000249, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.645038, 1.645620, 0.000582, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.645620, 1.645791, 0.000171, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.645791, 1.646222, 0.000431, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.646222, 1.646383, 0.000161, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.646383, 1.647320, 0.000937, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.647320, 1.647503, 0.000183, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.647503, 1.647916, 0.000413, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.647916, 1.648077, 0.000161, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.648077, 1.649475, 0.001398, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.649475, 1.649725, 0.000250, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.649725, 1.650309, 0.000584, 5.000000, !$omp create task @floorplan.c:530 <3>
