State, zero, STATE, 3.720771, 3.721220, 0.000449, 1.000000, !$omp implicit barrier @floorplan.c:628 <10>
Container, 0, THREAD, 1.60847, 3.72144, 2.11297, 8589934592
State, 8589934592, STATE, 1.632181, 3.721438, 2.089257, 0.000000, !$omp parallel @floorplan.c:620 <9>
State, 8589934592, STATE, 1.633152, 3.720604, 2.087452, 1.000000, !$omp single @floorplan.c:622 <11>
State, 8589934592, STATE, 1.633592, 3.720375, 2.086783, 2.000000, !$omp implicit barrier @floorplan.c:626 <13>
State, 8589934592, STATE, 1.637001, 3.712675, 2.075674, 3.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.638884, 3.712506, 2.073622, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.639507, 1.641237, 0.001730, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.641863, 1.642543, 0.000680, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.642736, 1.644789, 0.002053, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.645038, 1.645620, 0.000582, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.645791, 1.646222, 0.000431, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.646383, 1.647320, 0.000937, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.647503, 1.647916, 0.000413, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.648077, 1.649475, 0.001398, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.649725, 1.650309, 0.000584, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.650478, 1.650880, 0.000402, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.651162, 1.651760, 0.000598, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.651946, 1.652348, 0.000402, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.652507, 1.653885, 0.001378, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.654059, 1.654572, 0.000513, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.654732, 1.655219, 0.000487, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.655379, 1.655875, 0.000496, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.656034, 1.656521, 0.000487, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.656678, 1.657298, 0.000620, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.657466, 1.658730, 0.001264, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.658898, 1.659461, 0.000563, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.659661, 1.660120, 0.000459, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.660289, 1.660785, 0.000496, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.660945, 1.661666, 0.000721, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.661828, 1.662280, 0.000452, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.662468, 1.664022, 0.001554, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.664205, 1.664799, 0.000594, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.664985, 1.665493, 0.000508, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.665682, 1.666243, 0.000561, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.666400, 1.666991, 0.000591, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.667151, 1.667588, 0.000437, 5.000000, !$omp create task @floorplan.c:530 <3>
