Container, 0, 0, 0, 4.19993, 4.19993, 0
Container, 0, THREAD, 0, 4.19993, 4.19993, zero
State, zero, STATE, 1.850161, 1.850702, 0.000541, 8.000000, !$omp atomic @tied-floorplan.c:572 <7>
State, zero, STATE, 1.850365, 1.850543, 0.000178, 9.000000, !$omp taskwait @tied-floorplan.c:584 <8>
State, zero, STATE, 1.851317, 1.852423, 0.001106, 7.000000, !$omp task @tied-floorplan.c:530 <4>
State, zero, STATE, 1.851707, 1.852254, 0.000547, 8.000000, !$omp atomic @tied-floorplan.c:572 <7>
State, zero, STATE, 1.851918, 1.852097, 0.000179, 9.000000, !$omp taskwait @tied-floorplan.c:584 <8>
State, zero, STATE, 1.852837, 1.853937, 0.001100, 7.000000, !$omp task @tied-floorplan.c:530 <4>
State, zero, STATE, 1.853209, 1.853767, 0.000558, 8.000000, !$omp atomic @tied-floorplan.c:572 <7>
State, zero, STATE, 1.853405, 1.853580, 0.000175, 9.000000, !$omp taskwait @tied-floorplan.c:584 <8>
State, zero, STATE, 1.854289, 1.855359, 0.001070, 7.000000, !$omp task @tied-floorplan.c:530 <4>
State, zero, STATE, 1.854663, 1.855191, 0.000528, 8.000000, !$omp atomic @tied-floorplan.c:572 <7>
State, zero, STATE, 1.854854, 1.855033, 0.000179, 9.000000, !$omp taskwait @tied-floorplan.c:584 <8>
State, zero, STATE, 1.855813, 1.856895, 0.001082, 7.000000, !$omp task @tied-floorplan.c:530 <4>
State, zero, STATE, 1.856187, 1.856724, 0.000537, 8.000000, !$omp atomic @tied-floorplan.c:572 <7>
State, zero, STATE, 1.856382, 1.856563, 0.000181, 9.000000, !$omp taskwait @tied-floorplan.c:584 <8>
State, zero, STATE, 4.197329, 4.198626, 0.001297, 2.000000, !$omp implicit barrier @tied-floorplan.c:626 <13>
State, zero, STATE, 4.199075, 4.199676, 0.000601, 1.000000, !$omp implicit barrier @tied-floorplan.c:628 <10>
Container, 0, THREAD, 3.36686, 4.19993, 0.833072, 8589934592
State, 8589934592, STATE, 3.384951, 4.199837, 0.814886, 0.000000, !$omp parallel @tied-floorplan.c:620 <9>
State, 8589934592, STATE, 3.385354, 4.198683, 0.813329, 1.000000, !$omp single @tied-floorplan.c:622 <11>
State, 8589934592, STATE, 3.385750, 4.198515, 0.812765, 2.000000, !$omp implicit barrier @tied-floorplan.c:626 <13>
State, 8589934592, STATE, 3.387494, 4.009440, 0.621946, 3.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.388560, 4.009278, 0.620718, 4.000000, !$omp atomic @tied-floorplan.c:572 <7>
State, 8589934592, STATE, 3.388952, 3.389839, 0.000887, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.390151, 3.390766, 0.000615, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.390952, 3.392518, 0.001566, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.392717, 3.393291, 0.000574, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.393461, 3.394051, 0.000590, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.394227, 3.394760, 0.000533, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.394961, 3.395501, 0.000540, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.395655, 3.399790, 0.004135, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.399976, 3.400482, 0.000506, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.400649, 3.401123, 0.000474, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.401288, 3.401765, 0.000477, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
